City Name,Longitude,Latitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,Date Time
Hobart,147.33,-42.88,53.6,93,90,2.21,AU,1597504502
Ushuaia,-68.3,-54.8,35.6,80,75,16.11,AR,1597504431
Jamestown,-79.24,42.1,79.0,73,1,8.05,US,1597504485
Taltal,-70.48,-25.4,62.11,49,0,5.99,CL,1597504517
Banda Aceh,95.32,5.56,80.89,80,29,5.19,ID,1597504715
Port Alfred,26.89,-33.59,56.26,74,97,30.06,ZA,1597504716
Kapaa,-159.32,22.08,75.2,100,75,5.82,US,1597504499
Kaitangata,169.85,-46.28,44.01,69,96,4.0,NZ,1597504498
Albany,-73.97,42.6,81.0,54,0,4.88,US,1597504481
Gigmoto,124.39,13.78,79.95,81,91,3.31,PH,1597504717
Lebu,-73.65,-37.62,47.34,69,9,10.74,CL,1597504520
Dikson,80.55,73.51,43.36,91,34,6.42,RU,1597504496
Christchurch,172.63,-43.53,41.0,86,8,4.7,NZ,1597504717
Rikitea,-134.97,-23.12,70.61,77,4,13.6,PF,1597504484
Rāmhormoz,49.6,31.28,113.0,9,0,24.16,IR,1597504603
Qaanaaq,-69.36,77.48,40.41,66,26,3.04,GL,1597504322
Hilo,-155.09,19.73,73.4,88,75,4.7,US,1597504390
Atuona,-139.03,-9.8,77.38,78,36,19.8,PF,1597504507
Broadstairs,1.44,51.36,75.99,96,9,4.65,GB,1597504589
Port Elizabeth,25.57,-33.92,53.6,81,90,26.4,ZA,1597504550
Puerto Ayora,-90.35,-0.74,71.6,78,75,16.11,EC,1597504491
Mataura,168.86,-46.19,43.0,93,99,1.07,NZ,1597504719
Aksu,80.26,41.12,80.87,23,71,4.81,CN,1597504568
Wanning,110.4,18.8,82.27,81,89,7.25,CN,1597504719
Lompoc,-120.46,34.64,64.4,77,1,6.53,US,1597504491
Sistranda,8.83,63.73,59.0,93,90,19.46,NO,1597504613
Gävle,17.14,60.67,87.01,29,29,4.0,SE,1597504720
Saint Paul Harbor,-152.41,57.79,62.6,51,1,16.11,US,1597504246
Nacala,40.67,-14.54,74.21,69,47,10.87,MZ,1597504720
Bragança,-46.77,-1.05,90.0,52,72,7.56,BR,1597504721
Zhigansk,123.37,66.77,44.31,73,100,17.07,RU,1597504721
Hithadhoo,73.08,-0.6,84.02,69,81,5.06,MV,1597504362
Hofn,-15.21,64.25,59.52,76,16,9.22,IS,1597504721
Castro,-50.01,-24.79,62.6,89,100,5.37,BR,1597504518
Pacific Grove,-121.92,36.62,70.0,79,7,4.09,US,1597504234
Vaini,-175.2,-21.2,68.0,77,20,8.05,TO,1597504315
Vrangel',133.08,42.73,69.37,85,87,0.43,RU,1597504722
Cape Town,18.42,-33.93,55.0,62,75,8.05,ZA,1597504484
Constitución,-72.42,-35.33,52.05,61,0,11.01,CL,1597504532
Bandarbeyla,50.81,9.49,82.06,60,100,29.86,SO,1597504541
Severo-Kuril'sk,156.12,50.68,51.35,83,94,9.89,RU,1597504502
Yeppoon,150.73,-23.13,59.0,87,17,10.58,AU,1597504723
Yangi Marg`ilon,71.72,40.43,82.4,37,0,6.93,UZ,1597504723
Carnarvon,113.63,-24.87,66.2,100,75,25.28,AU,1597504504
Novoagansk,76.66,61.94,53.44,87,100,8.55,RU,1597504724
Clyde River,-68.59,70.47,44.6,81,75,5.82,CA,1597504490
Zhuangyuan,120.83,37.3,84.0,93,100,5.82,CN,1597504724
Ribeira Grande,-28.7,38.52,77.0,83,40,16.11,PT,1597504548
Busselton,115.33,-33.65,55.99,85,65,20.71,AU,1597504488
Batemans Bay,150.18,-35.72,55.0,82,99,3.0,AU,1597504725
Kruisfontein,24.73,-34.0,52.0,80,100,10.0,ZA,1597504592
Geraldton,114.6,-28.77,60.8,93,75,19.46,AU,1597504597
Bambous Virieux,57.76,-20.34,72.0,78,75,11.41,MU,1597504535
Hirara,125.28,24.8,84.43,77,0,12.08,JP,1597504726
Najrān,44.13,17.49,100.4,16,40,4.7,SA,1597504726
Lavrentiya,-171.0,65.58,50.25,70,0,6.24,RU,1597504525
Zalesovo,84.74,53.99,57.99,92,78,4.61,RU,1597504726
Trivandrum,76.92,8.48,82.4,88,20,4.7,IN,1597504708
Tuktoyaktuk,-133.04,69.45,46.4,87,90,10.29,CA,1597504321
Itoman,127.67,26.12,84.2,83,20,4.7,JP,1597504727
Miles City,-105.84,46.41,64.4,48,1,4.7,US,1597504727
Bluff,168.33,-46.6,43.0,93,96,3.22,NZ,1597504728
Port Lincoln,135.87,-34.73,51.24,82,4,5.91,AU,1597504573
Port Hardy,-127.42,50.7,57.2,100,40,2.24,CA,1597504596
Douglas,-96.17,41.3,75.2,47,1,4.7,US,1597504617
Borovskoy,64.15,53.8,64.35,68,97,7.43,KZ,1597504728
East London,27.91,-33.02,62.6,63,20,35.57,ZA,1597504493
Leh,77.58,34.17,72.28,21,1,5.75,IN,1597504729
The Valley,-63.06,18.22,89.6,74,40,12.75,AI,1597504729
Mumbwa,27.06,-14.98,83.61,14,4,5.39,ZM,1597504729
Cabo San Lucas,-109.91,22.89,82.99,78,5,5.48,MX,1597504522
Otradnoye,30.82,59.78,69.01,77,98,2.95,RU,1597504730
Saint-Michel-sur-Orge,2.31,48.63,84.0,45,40,3.36,FR,1597504730
Kaniama,24.18,-7.57,97.59,10,0,1.54,CD,1597504730
Khorramshahr,48.17,30.44,104.0,13,0,13.87,IR,1597504506
Lloydminster,-110.0,53.28,55.4,82,75,9.17,CA,1597504730
Tuatapere,167.68,-46.13,43.0,93,53,3.18,NZ,1597504731
Muisne,-80.03,0.6,77.0,83,75,9.17,EC,1597504731
Bredasdorp,20.04,-34.53,53.6,50,42,12.75,ZA,1597504511
Provideniya,-173.3,64.38,48.63,79,40,7.09,RU,1597504532
Holme,10.17,56.11,82.4,39,0,4.7,DK,1597504731
Torbay,-52.73,47.67,61.0,62,40,11.41,CA,1597504547
Nioki,17.68,-2.72,87.49,49,98,4.41,CD,1597504732
Itaituba,-55.98,-4.28,93.2,49,20,11.41,BR,1597504732
Ponta do Sol,-17.1,32.67,73.99,61,49,1.23,PT,1597504544
La Ronge,-105.28,55.1,55.4,87,40,12.75,CA,1597504610
Punta Arenas,-70.92,-53.15,37.4,89,75,25.28,CL,1597504311
Bonavista,-53.11,48.65,61.0,67,0,4.0,CA,1597504371
Santa Luzia,-43.85,-19.77,77.0,44,0,4.7,BR,1597504733
Bien Hoa,106.82,10.95,80.6,94,20,1.12,VN,1597504480
Tiksi,128.87,71.69,38.8,94,100,0.38,RU,1597504523
Flinders,150.86,-34.58,59.0,71,67,5.99,AU,1597504566
Hermanus,19.23,-34.42,48.99,83,26,3.0,ZA,1597504734
Shebunino,141.86,46.43,61.97,94,100,3.2,RU,1597504734
La Santisima Trinidad,-64.9,-14.83,86.0,66,75,11.41,BO,1597504636
Vraca,18.4,43.84,71.6,68,40,1.48,BA,1597504734
Cidreira,-50.21,-30.18,66.65,71,23,15.35,BR,1597504456
Margate,1.39,51.38,75.99,96,12,5.14,GB,1597504537
Mar del Plata,-57.56,-38.0,51.8,37,27,20.8,AR,1597504485
Butaritari,172.79,3.07,81.66,78,53,14.14,KI,1597504333
Hong Kong,114.16,22.29,84.0,74,28,5.99,HK,1597504283
Saldanha,17.94,-33.01,55.4,62,72,13.87,ZA,1597504611
Nikolskoye,30.79,59.7,69.8,68,75,8.95,RU,1597504501
Gaza,34.47,31.5,87.01,52,0,1.01,PS,1597504736
Etchojoa,-109.63,26.92,88.0,63,0,11.01,MX,1597504736
Vanimo,141.3,-2.67,78.12,79,86,1.99,PG,1597504736
Yellowknife,-114.35,62.46,51.01,76,75,18.34,CA,1597504508
Cherskiy,161.3,68.75,37.4,83,0,4.47,RU,1597504329
Barabai,115.38,-2.58,74.01,92,3,1.66,ID,1597504737
Chui,-53.46,-33.7,62.73,67,7,10.22,UY,1597504561
Imbituba,-48.67,-28.24,66.2,88,100,2.24,BR,1597504738
Bathsheba,-59.52,13.22,87.8,70,20,9.17,BB,1597504556
San Juan,-68.54,-31.54,57.4,32,0,3.13,AR,1597504738
Urucará,-57.76,-2.54,95.0,39,98,5.12,BR,1597504738
Vila Velha,-40.29,-20.33,82.4,58,40,17.22,BR,1597504528
Nabire,135.48,-3.37,75.36,86,100,5.28,ID,1597504464
Kiunga,141.29,-6.12,73.24,98,100,3.4,PG,1597504739
Grabouw,19.02,-34.15,53.01,62,75,8.05,ZA,1597504739
Raudeberg,5.14,61.99,66.99,77,56,12.75,NO,1597504604
Xai-Xai,33.64,-25.05,81.84,35,0,10.56,MZ,1597504740
Ugoofaaru,73.0,5.67,82.92,76,99,7.2,MV,1597504740
Praia,-23.51,14.92,86.0,70,20,14.99,CV,1597504740
North Platte,-100.77,41.12,72.0,72,1,3.36,US,1597504684
St. George's,-61.75,12.06,87.8,79,40,17.22,GD,1597504360
Husavik,-17.34,66.04,57.2,67,75,12.75,IS,1597504533
Adrar,-10.07,20.5,109.49,15,34,14.56,MR,1597504559
Aykhal,111.5,66.0,50.0,57,70,6.71,RU,1597504532
Owando,15.9,-0.48,80.29,81,100,2.15,CG,1597504741
New Norfolk,147.06,-42.78,52.0,92,100,2.37,AU,1597504491
Kichera,110.1,55.94,52.23,69,1,6.98,RU,1597504742
Road Town,-64.62,18.42,86.0,74,40,11.41,VG,1597504742
Saskylakh,114.08,71.92,44.37,67,2,7.27,RU,1597504336
Tobol'sk,68.27,58.2,55.72,69,98,5.97,RU,1597504743
Fortuna,-124.16,40.6,66.99,78,0,2.21,US,1597504561
Prabumulih,104.25,-3.45,76.66,85,65,3.18,ID,1597504743
Saint-Michel-des-Saints,-73.92,46.68,72.37,56,0,6.31,CA,1597504744
Jiaojiang,121.44,28.68,82.0,49,8,6.04,CN,1597504744
Salalah,54.09,17.02,77.0,100,90,5.82,OM,1597504744
Touros,-35.46,-5.2,82.4,65,75,16.11,BR,1597504510
Plastun,136.29,44.76,62.82,83,0,3.78,RU,1597504745
Tak Bai,102.05,6.26,82.4,78,20,3.36,TH,1597504745
Kysyl-Syr,122.76,63.9,42.17,75,12,6.22,RU,1597504745
Vardø,31.11,70.37,53.6,93,75,16.11,NO,1597504745
Basco,121.97,20.45,84.2,80,99,16.08,PH,1597504746
Ojinaga,-104.42,29.57,87.8,23,1,5.82,MX,1597504746
Lata,-8.33,40.16,82.0,43,3,12.44,PT,1597504746
San Vicente,-54.13,-26.62,65.07,85,98,0.51,AR,1597504747
Tunoshna,40.13,57.55,62.6,72,81,5.06,RU,1597504747
Dunedin,170.5,-45.87,45.0,69,89,1.99,NZ,1597504747
Anshan,122.99,41.12,71.96,81,100,3.31,CN,1597504747
Bose,8.01,45.46,87.01,59,9,1.99,IT,1597504747
Arraial do Cabo,-42.03,-22.97,86.0,48,0,10.29,BR,1597504478
Thompson,-97.86,55.74,59.0,77,40,9.17,CA,1597504503
Henties Bay,14.28,-22.12,62.01,75,10,5.99,NA,1597504748
Camacha,-16.33,33.08,75.2,60,20,12.75,PT,1597504748
Yatou,122.38,37.15,76.87,92,100,9.53,CN,1597504749
Atar,-13.05,20.52,109.26,17,21,13.2,MR,1597504749
Pisco,-76.22,-13.7,64.4,72,75,4.7,PE,1597504503
Tura,90.22,25.52,76.05,94,100,6.8,IN,1597504589
Mahébourg,57.7,-20.41,71.6,78,75,11.41,MU,1597504382
Northam,-4.22,51.03,69.01,99,100,1.01,GB,1597504750
Yarmouth,-70.23,41.71,75.0,73,90,13.87,US,1597504750
Samaipata,-63.87,-18.15,67.01,61,66,8.12,BO,1597504750
Roebourne,117.13,-20.78,68.18,62,2,8.08,AU,1597504750
Guarujá,-46.26,-23.99,73.0,83,75,4.7,BR,1597504751
Saint Anthony,-93.22,45.02,68.0,68,1,3.36,US,1597504751
Iskateley,53.15,67.68,59.47,57,96,9.75,RU,1597504751
Pattensen,9.76,52.26,82.0,65,20,3.36,DE,1597504751
Emba,58.14,48.83,73.24,35,51,9.19,KZ,1597504751
Sundargarh,84.03,22.12,78.42,93,100,10.27,IN,1597504752
Bilma,12.92,18.69,105.62,12,2,12.73,NE,1597504341
Kampene,26.67,-3.6,89.08,37,68,3.56,CD,1597504752
Patnos,42.86,39.23,76.14,34,17,12.64,TR,1597504752
Sakakah,40.21,29.97,100.4,14,0,17.22,SA,1597504571
Sungai Penuh,101.38,-2.08,66.9,95,76,0.72,ID,1597504753
Gijang,129.21,35.24,80.6,83,100,4.7,KR,1597504753
Tasiilaq,-37.64,65.61,41.0,75,75,13.87,GL,1597504336
Marawi,124.29,8.0,79.0,87,74,4.0,PH,1597504753
Contamana,-75.02,-7.33,86.23,57,97,2.19,PE,1597504753
Barrow,-156.79,71.29,41.0,93,90,8.05,US,1597504531
Mitú,-70.17,1.2,81.64,86,100,1.79,CO,1597504563
Abay,72.85,49.63,60.8,72,0,8.95,KZ,1597504754
Ancud,-73.82,-41.87,45.0,86,76,8.05,CL,1597504386
Rosetta,30.42,31.4,87.8,62,40,12.75,EG,1597504755
Port Blair,92.75,11.67,82.78,81,100,15.68,IN,1597504262
Blyth,-1.51,55.13,61.0,82,75,5.82,GB,1597504519
Vallenar,-70.76,-28.57,66.2,29,0,4.27,CL,1597504755
Mossamedes,12.15,-15.2,69.8,68,62,13.87,AO,1597504755
Bethel,-73.41,41.37,78.8,54,1,9.17,US,1597504346
Podgornoye,39.15,51.73,68.0,32,93,11.18,RU,1597504756
Cayenne,-52.33,4.93,86.0,70,73,5.82,GF,1597504549
Lüderitz,15.16,-26.65,62.73,56,0,21.9,NA,1597504572
Borogontsy,131.17,62.67,44.1,72,0,2.77,RU,1597504756
Qaqortoq,-46.03,60.72,50.0,71,75,8.05,GL,1597504566
Port Keats,129.55,-14.25,72.84,85,0,1.52,AU,1597504757
Ternate,127.4,0.8,79.93,81,85,5.88,ID,1597504757
George Town,100.34,5.41,86.0,83,20,1.34,MY,1597504492
San Patricio,-104.7,19.22,84.31,64,8,1.83,MX,1597504525
Departamento de Maldonado,-54.92,-34.67,53.6,62,20,12.75,UY,1597504605
Kajaani,27.73,64.23,68.0,64,100,13.87,FI,1597504758
Makakilo City,-158.09,21.35,78.8,88,1,3.36,US,1597504526
Egvekinot,-179.17,66.32,49.08,78,100,2.59,RU,1597504543
Kamwenge,30.45,0.19,80.02,51,100,2.24,UG,1597504758
Mananjary,48.33,-21.22,68.43,73,27,8.68,MG,1597504758
Ocós,-92.19,14.51,86.0,74,75,3.36,GT,1597504759
Bolshoye Nagatkino,47.97,54.52,57.2,93,90,20.13,RU,1597504759
Klaksvík,-6.59,62.23,53.6,100,77,6.93,FO,1597504547
Baley,116.63,51.6,53.78,95,12,2.71,RU,1597504759
São Filipe,-24.5,14.9,79.7,83,26,6.31,CV,1597504502
Lexington,-84.48,37.99,75.0,94,90,10.29,US,1597504760
Mbandaka,18.26,0.05,83.64,60,72,2.19,CD,1597504760
Kalino,57.61,58.25,51.62,87,98,5.79,RU,1597504761
Codrington,141.97,-38.27,46.89,92,5,7.11,AU,1597504491
Ekhabi,142.97,53.51,53.38,90,100,17.58,RU,1597504761
Verkhoyansk,133.38,67.54,38.21,76,99,4.36,RU,1597504761
Saint George,-113.58,37.1,86.0,20,1,4.7,US,1597504566
Batagay-Alyta,130.41,67.8,35.8,93,100,1.97,RU,1597504762
Avarua,-159.78,-21.21,73.4,94,3,6.93,CK,1597504327
Siniscola,9.69,40.57,89.6,52,0,9.17,IT,1597504762
Shimoda,138.95,34.67,75.99,86,0,4.14,JP,1597504762
Pokrovskoye,38.9,47.42,73.99,28,1,11.01,RU,1597504763
Natal,-35.21,-5.79,84.2,62,40,20.8,BR,1597504508
Itarema,-39.92,-2.92,86.99,54,89,20.8,BR,1597504522
Upernavik,-56.15,72.79,40.96,65,39,6.78,GL,1597504536
Iqaluit,-68.51,63.75,48.0,93,90,4.7,CA,1597504337
Kupang,123.58,-10.17,73.83,80,2,8.01,ID,1597504764
Shingū,135.98,33.73,81.57,71,0,6.15,JP,1597504764
Dingle,122.67,11.0,77.47,89,100,1.25,PH,1597504764
Udachny,112.4,66.42,50.0,57,77,6.71,RU,1597504764
Paita,-81.11,-5.09,68.0,72,88,21.92,PE,1597504765
Alta Floresta,-56.09,-9.88,99.59,19,0,6.31,BR,1597504765
Korla,86.15,41.76,80.01,74,0,1.99,CN,1597504581
Tchibanga,11.03,-2.85,79.54,65,96,7.31,GA,1597504765
Ilulissat,-51.1,69.22,37.4,47,40,5.82,GL,1597504406
Oparino,48.28,59.85,54.39,83,89,0.69,RU,1597504766
Alugan,125.48,12.22,78.26,87,91,3.96,PH,1597504496
Ruteng,120.47,-8.61,61.86,100,35,2.06,ID,1597504509
Saint-Philippe,55.77,-21.36,69.8,64,4,9.17,RE,1597504525
Muzhi,64.67,65.37,54.54,63,36,5.99,RU,1597504766
Wenling,121.36,28.37,84.0,49,6,9.22,CN,1597504766
Portland,-122.68,45.52,68.0,59,1,3.36,US,1597504088
Auki,160.7,-8.77,77.36,81,50,1.57,SB,1597504564
Santa Cruz de la Sierra,-63.17,-17.8,64.4,100,75,11.41,BO,1597504767
Mayma,85.91,52.02,58.17,85,100,3.18,RU,1597504767
Khatanga,102.5,71.97,55.62,56,0,9.37,RU,1597504545
Luba,8.55,3.46,80.6,88,75,6.93,GQ,1597504684
Mitsamiouli,43.28,-11.38,78.8,74,75,12.75,KM,1597504554
Bambanglipuro,110.28,-7.95,76.06,91,64,5.73,ID,1597504589
Lanquín,-89.97,15.57,76.78,77,99,1.9,GT,1597504768
Mlowo,32.98,-9.0,75.38,34,71,8.81,TZ,1597504768
Constantine,6.61,36.37,100.4,15,40,10.29,DZ,1597504769
Kudahuvadhoo,72.89,2.67,83.89,66,100,4.25,MV,1597504587
Sirte,16.59,31.21,86.58,49,0,10.87,LY,1597504769
Nanchang,115.88,28.68,85.39,68,0,2.44,CN,1597504769
Châteauroux,1.7,46.82,82.4,37,99,8.05,FR,1597504473
Tateyama,139.87,34.98,84.0,89,0,3.0,JP,1597504770
Slave Lake,-114.77,55.28,57.2,71,75,6.93,CA,1597504557
Kahului,-156.47,20.89,75.0,78,1,3.36,US,1597504495
Keti Bandar,67.45,24.14,85.21,80,100,10.63,PK,1597504770
Lagunas,-75.68,-5.23,81.05,74,99,2.46,PE,1597504771
Yerbogachën,108.01,61.28,44.1,72,5,6.15,RU,1597504771
Alofi,-169.92,-19.06,69.8,77,21,6.93,NU,1597504495
Pemangkat,108.97,1.17,80.38,81,73,5.77,ID,1597504771
Praia da Vitória,-27.07,38.73,77.0,69,20,9.95,PT,1597504537
Yanam,82.22,16.73,77.0,94,90,11.41,IN,1597504772
Stilfontein,26.77,-26.84,75.2,18,100,16.64,ZA,1597504772
Great Falls,-111.3,47.5,66.2,29,1,12.75,US,1597504772
Port Augusta,137.77,-32.5,46.99,100,1,5.82,AU,1597504555
Fort Nelson,-122.7,58.81,48.2,100,75,3.36,CA,1597504327
Cabedelo,-34.83,-6.98,82.4,65,75,12.75,BR,1597504570
Gazli,63.45,40.13,91.18,13,11,6.78,UZ,1597504773
Port-Gentil,8.78,-0.72,80.6,74,75,16.93,GA,1597504564
Eureka,-124.16,40.8,66.0,15,0,1.63,US,1597504316
Vanderhoof,-124.02,54.02,59.16,82,100,4.52,CA,1597504774
Çanakkale Province,26.83,40.08,89.6,31,0,13.87,TR,1597504774
Inta,60.17,66.03,56.23,69,98,0.76,RU,1597504551
Casselman,-75.08,45.32,75.0,70,0,4.0,CA,1597504774
Delcevo,22.77,41.97,84.22,40,7,6.71,MK,1597504774
Evensk,159.23,61.95,52.79,78,100,1.23,RU,1597504774
Linjiang,126.91,41.81,67.32,87,100,2.3,CN,1597504775
Mehamn,27.85,71.04,51.8,69,87,11.01,NO,1597504510
Padang,100.35,-0.95,79.88,76,30,3.06,ID,1597504775
Yumen,97.2,40.28,70.95,30,60,9.66,CN,1597504540
Puerto Baquerizo Moreno,-89.6,-0.9,68.0,94,90,9.17,EC,1597504609
